Ref,Val,Package,PosX,PosY,Rot,Side
"B","LED","LED_0805",6.486220,-2.834646,270.000000,top
"C1","1uF","C_0402",5.472441,-3.897638,270.000000,top
"C2","100nF","C_0402",5.393701,-3.897638,270.000000,top
"C3","1uF","C_0402",5.393701,-3.799213,270.000000,top
"C4","100nF","C_0402",5.472441,-3.799213,270.000000,top
"C5","22nF","C_0402",5.275591,-3.602362,0.000000,top
"C6","22nF","C_0402",5.275591,-3.681102,0.000000,top
"C7","2.2uF","C_0402",6.496063,-3.464567,180.000000,top
"C8","2.2uF","C_0402",6.259843,-4.094488,90.000000,top
"C9","6pF","C_0402",5.509843,-3.366142,180.000000,top
"C10","6pF","C_0402",5.462598,-3.462598,90.000000,top
"C11","100nF","C_0402",5.827559,-3.240551,180.000000,top
"C12","100nF","C_0402",5.287992,-3.104528,180.000000,top
"C13","100nF","C_0402",6.338583,-4.094488,0.000000,top
"C14","100nF","C_0402",5.287992,-2.993898,180.000000,top
"C15","100nF","C_0402",5.287992,-2.874213,180.000000,top
"C16","100nF","C_0402",5.642520,-3.614567,270.000000,top
"C17","100nF","C_0402",6.496063,-3.385827,90.000000,top
"C18","100nF","C_0402",5.768898,-4.087402,0.000000,top
"D1","LED","LED_0805",7.370866,-3.759055,90.000000,top
"D2","LED","LED_0805",7.238189,-3.751969,90.000000,top
"G","LED","LED_0805",6.683071,-2.834646,270.000000,top
"L1","INDUCTOR","L_0805",5.198031,-3.818110,0.000000,top
"O","LED","LED_0805",6.387795,-2.834646,270.000000,top
"Q1","Q_NMOS_GSD","SOT-23",6.935827,-3.746063,0.000000,top
"R","LED","LED_0805",6.584646,-2.834646,270.000000,top
"R1","47","R_0402",5.314961,-3.818898,180.000000,top
"R2","33K","R_0805",6.069685,-3.092520,180.000000,top
"R3","33K","R_0805",6.220079,-3.091339,0.000000,top
"R4","33K","R_0402",6.108661,-2.967323,90.000000,top
"R5","33K","R_0402",5.551969,-3.079921,90.000000,top
"R6","33K","R_0402",6.807874,-3.707874,180.000000,top
"R7","47","R_0402",6.525591,-3.257874,0.000000,top
"R8","47","R_0402",6.525591,-3.188976,0.000000,top
"R9","47","R_0402",6.525591,-3.120079,0.000000,top
"R10","47","R_0402",6.437008,-3.080709,90.000000,top
"R11","47","R_0402",6.318898,-3.080709,90.000000,top
"U1","STM32F746VGTx","LQFP100",6.062992,-3.661417,0.000000,top
"U2","MOUDLE-BLUETOOTH-HC-05(34P-27X13MM)","HC05",7.181890,-3.559449,0.000000,top
"Y","LED","LED_0805",6.279528,-2.834646,270.000000,top
"Y1","25MHz","Crystal_SMD_2520-4pin_2.5x2.0mm",5.433071,-3.641732,270.000000,top
"Y2","32kHz","Crystal_SMD_2012-2pin_2.0x1.2mm",5.541339,-3.466535,270.000000,top
