PCB ID;Footprint;Cantidad;ID
R7,R8,R9,R10,R11,R1;SMD_0402;6;330
R2,R3;SMD_0805;2;33K
DAC1,DigitalPWR1,I2C1;Header;3;Conn_01x02
ADC1,ADC2;Header;2;Conn_01x04
GPIO1;Header;1;Conn_01x08
J1;Header;1;Conn_02x05_Odd_Even_MountingPin
U1;LQFP100;1;STM32F746VGT6
C8,C7;SMD_0402;2;2.2uF
C17,C16,C15,C14,C13,C12,C11,C18,C4,C2;SMD_0402;10;100nF
C6,C5;SMD_0402;2;22nF
C3,C1;SMD_0402;2;1uF
C9,C10;SMD_0402;2;6pF
Y1;Crystal_SMD_2520-4pin_2.5x2.0mm;1;25MHz
Y2;Crystal_SMD_5032-2pin_5.0x3.2mm;1;32kHz
L1;SMD_0805;1;22uH
R5,R6,R4;SMD_0402;3;33K
Q1;SOT-23;1;BSS138
U2;HC05;1;MOUDLE-BLUETOOTH-HC-05(34P-27X13MM)
G, D1, D2;SMD_0805;3;Green LED
O;SMD_0805;1;Orange LED
R;SMD_0805;1;Red LED
Y;SMD_0805;1;Yellow LED
B;SMD_0805;1;Blue LED
